2019-11-22 11:26:20.095,cecilia,topQueue
2019-11-22 11:27:10.055,cecilia,restart
2019-11-22 11:27:17.145,cecilia,queue
2019-11-22 11:32:04.261,bob,start
2019-11-22 11:34:03.442,bob,restart

2019-11-22 11:52:53.362,alice,print
2019-11-22 11:52:56.032,alice,queue
2019-11-22 11:53:02.002,alice,topQueue
2019-11-22 11:53:05.502,alice,start
2019-11-22 11:53:06.732,alice,stop
2019-11-22 11:53:08.812,alice,start
2019-11-22 11:53:10.352,alice,restart
2019-11-22 11:59:26.209,alice,status
2019-11-22 11:59:34.259,alice,readConfig
2019-11-22 11:59:43.009,alice,setConfig
2019-11-22 12:00:58.815,bob,start
2019-11-22 12:00:59.905,bob,stop
2019-11-22 12:01:05.805,bob,restart
2019-11-22 12:01:07.715,bob,status
2019-11-22 12:01:14.535,bob,readConfig
2019-11-22 12:01:19.715,bob,setConfig
2019-11-22 12:01:58.124,cecilia,print
2019-11-22 12:02:03.764,cecilia,queue
2019-11-22 12:02:08.454,cecilia,topQueue
2019-11-22 12:03:39.385,cecilia,restart
2019-11-22 12:05:29.744,david,print
2019-11-22 12:05:33.378,david,queue
2019-11-22 12:07:08.809,erica,print
2019-11-22 12:07:13.179,erica,queue
2019-11-22 12:07:48.299,fred,print
2019-11-22 12:07:50.719,fred,queue
2019-11-22 12:08:39.581,george,print
2019-11-22 12:08:42.381,george,queue
2019-11-22 12:23:04.699,ida,print
2019-11-22 12:23:09.498,ida,queue
2019-11-22 12:23:21.627,ida,topQueue
2019-11-22 12:23:38.752,ida,restart
2019-11-22 12:25:06.039,george,start
2019-11-22 12:25:09.569,george,stop
2019-11-22 12:25:11.309,george,restart
2019-11-22 12:25:20.359,george,status
2019-11-22 12:25:28.999,george,readConfig
2019-11-22 12:25:33.509,george,setConfig
2019-11-22 12:25:48.727,alice,print
2019-11-22 12:25:51.947,alice,queue
2019-11-22 12:26:01.287,alice,start
2019-11-22 12:26:02.537,alice,stop
2019-11-22 12:26:04.067,alice,restart
2019-11-22 12:26:06.827,alice,status
2019-11-22 12:26:14.047,alice,setConfig
2019-11-22 12:26:18.257,alice,readConfig
2019-11-22 12:26:22.227,alice,status
2019-11-22 12:28:04.532,cecilia,print
2019-11-22 12:28:08.572,cecilia,queue
2019-11-22 12:28:23.932,cecilia,restart
2019-11-22 12:30:35.394,henry,print
2019-11-22 12:30:40.344,henry,queue
2019-11-22 12:37:23.8,erica,print
2019-11-22 12:37:27.81,erica,queue
2019-11-22 12:38:59.526,alice,print
2019-11-22 12:39:01.606,alice,queue
2019-11-22 12:39:08.116,alice,topQueue
2019-11-22 12:39:13.676,alice,start
2019-11-22 12:39:14.866,alice,stop
2019-11-22 12:39:16.506,alice,restart
2019-11-22 12:39:18.956,alice,status
2019-11-22 12:39:23.246,alice,readConfig
2019-11-22 12:39:26.346,alice,setConfig
2019-11-22 12:39:54.28,george,start
2019-11-22 12:39:55.32,george,stop
2019-11-22 12:39:56.97,george,restart
2019-11-22 12:40:03.781,george,status
2019-11-22 12:40:08.391,george,readConfig
2019-11-22 12:40:11.481,george,setConfig
2019-11-22 12:41:39.825,cecilia,print
2019-11-22 12:42:38.596,cecilia,queue
2019-11-22 12:42:46.486,cecilia,topQueue
2019-11-22 12:42:53.176,cecilia,restart
2019-11-22 12:43:20.07,ida,print
2019-11-22 12:43:22.08,ida,queue
2019-11-22 12:43:31.9,ida,restart
2019-11-22 12:44:07.158,henry,print
2019-11-22 12:44:09.348,henry,queue
2019-11-22 12:44:54.934,fred,print
2019-11-22 12:44:57.304,fred,queue
